Frame,Part of frame,Layer,X,Y
1475,255,536870912,255,164
1475,245,536870913,245,164
1475,241,536870914,241,164
1475,201,536870915,201,164
1475,185,536870916,185,164
1475,171,536870917,171,164
1475,144,536870918,144,164
1475,134,536870919,134,164
1475,76,536870920,76,164
1475,53,536870921,53,164
1475,54,268435456,54,165
1475,77,268435457,77,165
1475,136,268435458,136,165
1475,147,268435459,147,165
1475,172,268435460,172,165
1475,187,268435461,187,165
1475,202,268435462,202,165
1475,242,268435463,242,165
1475,245,268435464,245,165
1475,256,268435465,256,165
1475,255,536870912,255,165
1475,244,536870913,244,165
1475,241,536870914,241,165
1475,201,536870915,201,165
1475,186,536870916,186,165
1475,171,536870917,171,165
1475,146,536870918,146,165
1475,135,536870919,135,165
1475,76,536870920,76,165
1475,53,536870921,53,165
1475,54,268435456,54,166
1475,78,268435457,78,166
1475,137,268435458,137,166
1475,148,268435459,148,166
1475,172,268435460,172,166
1475,187,268435461,187,166
1475,201,268435462,201,166
1475,242,268435463,242,166
1475,244,268435464,244,166
1475,256,268435465,256,166
1475,255,536870912,255,166
1475,243,536870913,243,166
1475,241,536870914,241,166
1475,200,536870915,200,166
1475,186,536870916,186,166
1475,171,536870917,171,166
1475,147,536870918,147,166
1475,136,536870919,136,166
1475,77,536870920,77,166
1475,53,536870921,53,166
1475,54,268435456,54,167
1475,78,268435457,78,167
1475,139,268435458,139,167
1475,150,268435459,150,167
1475,172,268435460,172,167
1475,187,268435461,187,167
1475,201,268435462,201,167
1475,242,268435463,242,167
1475,243,268435464,243,167
1475,256,268435465,256,167
1475,255,536870912,255,167
1475,242,536870913,242,167
1475,241,536870914,241,167
1475,200,536870915,200,167
1475,186,536870916,186,167
1475,171,536870917,171,167
1475,149,536870918,149,167
1475,138,536870919,138,167
1475,77,536870920,77,167
1475,53,536870921,53,167
1475,53,268435456,53,168
1475,78,268435457,78,168
1475,141,268435458,141,168
1475,152,268435459,152,168
1475,173,268435460,173,168
1475,187,268435461,187,168
1475,200,268435462,200,168
1475,254,268435463,254,168
1475,253,536870912,253,168
1475,199,536870913,199,168
1475,186,536870914,186,168
1475,172,536870915,172,168
1475,151,536870916,151,168
1475,140,536870917,140,168
1475,77,536870918,77,168
1475,52,536870919,52,168
1475,53,268435456,53,169
1475,78,268435457,78,169
1475,143,268435458,143,169
1475,153,268435459,153,169
1475,173,268435460,173,169
1475,187,268435461,187,169
1475,200,268435462,200,169
1475,253,268435463,253,169
1475,252,536870912,252,169
1475,199,536870913,199,169
1475,186,536870914,186,169
1475,172,536870915,172,169
1475,152,536870916,152,169
1475,142,536870917,142,169
1475,77,536870918,77,169
1475,52,536870919,52,169
1475,53,268435456,53,170
1475,77,268435457,77,170
1475,144,268435458,144,170
1475,155,268435459,155,170
1475,173,268435460,173,170
1475,187,268435461,187,170
1475,199,268435462,199,170
1475,251,268435463,251,170
1475,250,536870912,250,170
1475,198,536870913,198,170
1475,186,536870914,186,170
1475,172,536870915,172,170
1475,154,536870916,154,170
1475,143,536870917,143,170
1475,76,536870918,76,170
1475,52,536870919,52,170
1475,53,268435456,53,171
1475,77,268435457,77,171
1475,145,268435458,145,171
1475,156,268435459,156,171
1475,174,268435460,174,171
1475,187,268435461,187,171
1475,199,268435462,199,171
1475,250,268435463,250,171
1475,249,536870912,249,171
1475,198,536870913,198,171
1475,186,536870914,186,171
1475,173,536870915,173,171
1475,155,536870916,155,171
1475,144,536870917,144,171
1475,76,536870918,76,171
1475,52,536870919,52,171
1475,53,268435456,53,172
1475,77,268435457,77,172
1475,147,268435458,147,172
1475,158,268435459,158,172
1475,174,268435460,174,172
1475,187,268435461,187,172
1475,198,268435462,198,172
1475,249,268435463,249,172
1475,248,536870912,248,172
1475,197,536870913,197,172
1475,186,536870914,186,172
1475,173,536870915,173,172
1475,157,536870916,157,172
1475,146,536870917,146,172
1475,76,536870918,76,172
1475,52,536870919,52,172
1475,52,268435456,52,173
1475,77,268435457,77,173
1475,149,268435458,149,173
1475,160,268435459,160,173
1475,174,268435460,174,173
1475,187,268435461,187,173
1475,197,268435462,197,173
1475,247,268435463,247,173
1475,246,536870912,246,173
1475,196,536870913,196,173
1475,186,536870914,186,173
1475,173,536870915,173,173
1475,159,536870916,159,173
1475,148,536870917,148,173
1475,76,536870918,76,173
1475,51,536870919,51,173
1475,52,268435456,52,174
1475,78,268435457,78,174
1475,151,268435458,151,174
1475,161,268435459,161,174
1475,175,268435460,175,174
1475,187,268435461,187,174
1475,197,268435462,197,174
1475,247,268435463,247,174
1475,246,536870912,246,174
1475,196,536870913,196,174
1475,186,536870914,186,174
1475,174,536870915,174,174
1475,160,536870916,160,174
1475,150,536870917,150,174
1475,77,536870918,77,174
1475,51,536870919,51,174
1475,52,268435456,52,175
1475,78,268435457,78,175
1475,152,268435458,152,175
1475,163,268435459,163,175
1475,175,268435460,175,175
1475,187,268435461,187,175
1475,196,268435462,196,175
1475,246,268435463,246,175
1475,245,536870912,245,175
1475,195,536870913,195,175
1475,186,536870914,186,175
1475,174,536870915,174,175
1475,162,536870916,162,175
1475,151,536870917,151,175
1475,77,536870918,77,175
1475,51,536870919,51,175
1475,51,268435456,51,176
1475,81,268435457,81,176
1475,153,268435458,153,176
1475,165,268435459,165,176
1475,175,268435460,175,176
1475,187,268435461,187,176
1475,197,268435462,197,176
1475,243,268435463,243,176
1475,242,536870912,242,176
1475,196,536870913,196,176
1475,186,536870914,186,176
1475,174,536870915,174,176
1475,164,536870916,164,176
1475,152,536870917,152,176
1475,80,536870918,80,176
1475,50,536870919,50,176
1475,51,268435456,51,177
1475,81,268435457,81,177
1475,155,268435458,155,177
1475,167,268435459,167,177
1475,175,268435460,175,177
1475,187,268435461,187,177
1475,199,268435462,199,177
1475,243,268435463,243,177
1475,242,536870912,242,177
1475,198,536870913,198,177
1475,186,536870914,186,177
1475,174,536870915,174,177
1475,166,536870916,166,177
1475,154,536870917,154,177
1475,80,536870918,80,177
1475,50,536870919,50,177
1475,51,268435456,51,178
1475,82,268435457,82,178
1475,157,268435458,157,178
1475,168,268435459,168,178
1475,175,268435460,175,178
1475,187,268435461,187,178
1475,202,268435462,202,178
1475,243,268435463,243,178
1475,242,536870912,242,178
1475,201,536870913,201,178
1475,186,536870914,186,178
1475,174,536870915,174,178
1475,167,536870916,167,178
1475,156,536870917,156,178
1475,81,536870918,81,178
1475,50,536870919,50,178
1475,50,268435456,50,179
1475,83,268435457,83,179
1475,159,268435458,159,179
1475,170,268435459,170,179
1475,176,268435460,176,179
1475,188,268435461,188,179
1475,203,268435462,203,179
1475,243,268435463,243,179
1475,242,536870912,242,179
1475,202,536870913,202,179
1475,187,536870914,187,179
1475,175,536870915,175,179
1475,169,536870916,169,179
1475,158,536870917,158,179
1475,82,536870918,82,179
1475,49,536870919,49,179
1475,50,268435456,50,180
1475,85,268435457,85,180
1475,160,268435458,160,180
1475,172,268435459,172,180
1475,176,268435460,176,180
1475,188,268435461,188,180
1475,203,268435462,203,180
1475,242,268435463,242,180
1475,241,536870912,241,180
1475,202,536870913,202,180
1475,187,536870914,187,180
1475,175,536870915,175,180
1475,171,536870916,171,180
1475,159,536870917,159,180
1475,84,536870918,84,180
1475,49,536870919,49,180
1475,49,268435456,49,181
1475,86,268435457,86,181
1475,162,268435458,162,181
1475,174,268435459,174,181
1475,176,268435460,176,181
1475,188,268435461,188,181
1475,202,268435462,202,181
1475,242,268435463,242,181
1475,241,536870912,241,181
1475,201,536870913,201,181
1475,187,536870914,187,181
1475,175,536870915,175,181
1475,173,536870916,173,181
1475,161,536870917,161,181
1475,85,536870918,85,181
1475,48,536870919,48,181
1475,49,268435456,49,182
1475,88,268435457,88,182
1475,164,268435458,164,182
1475,188,268435459,188,182
1475,202,268435460,202,182
1475,241,268435461,241,182
1475,240,536870912,240,182
1475,201,536870913,201,182
1475,187,536870914,187,182
1475,163,536870915,163,182
1475,87,536870916,87,182
1475,48,536870917,48,182
1475,49,268435456,49,183
1475,89,268435457,89,183
1475,165,268435458,165,183
1475,188,268435459,188,183
1475,200,268435460,200,183
1475,240,268435461,240,183
1475,239,536870912,239,183
1475,199,536870913,199,183
1475,187,536870914,187,183
1475,164,536870915,164,183
1475,88,536870916,88,183
1475,48,536870917,48,183
1475,49,268435456,49,184
1475,89,268435457,89,184
1475,167,268435458,167,184
1475,188,268435459,188,184
1475,199,268435460,199,184
1475,238,268435461,238,184
1475,237,536870912,237,184
1475,198,536870913,198,184
1475,187,536870914,187,184
1475,166,536870915,166,184
1475,88,536870916,88,184
1475,48,536870917,48,184
1475,49,268435456,49,185
1475,90,268435457,90,185
1475,169,268435458,169,185
1475,188,268435459,188,185
1475,199,268435460,199,185
1475,238,268435461,238,185
1475,237,536870912,237,185
1475,198,536870913,198,185
1475,187,536870914,187,185
1475,168,536870915,168,185
1475,89,536870916,89,185
1475,48,536870917,48,185
1475,48,268435456,48,186
1475,90,268435457,90,186
1475,171,268435458,171,186
1475,188,268435459,188,186
1475,199,268435460,199,186
1475,238,268435461,238,186
1475,237,536870912,237,186
1475,198,536870913,198,186
1475,187,536870914,187,186
1475,170,536870915,170,186
1475,89,536870916,89,186
1475,47,536870917,47,186
1475,48,268435456,48,187
1475,89,268435457,89,187
1475,172,268435458,172,187
1475,189,268435459,189,187
1475,198,268435460,198,187
1475,238,268435461,238,187
1475,237,536870912,237,187
1475,197,536870913,197,187
1475,188,536870914,188,187
1475,171,536870915,171,187
1475,88,536870916,88,187
1475,47,536870917,47,187
1475,47,268435456,47,188
1475,89,268435457,89,188
1475,174,268435458,174,188
1475,189,268435459,189,188
1475,197,268435460,197,188
1475,238,268435461,238,188
1475,237,536870912,237,188
1475,196,536870913,196,188
1475,188,536870914,188,188
1475,173,536870915,173,188
1475,88,536870916,88,188
1475,46,536870917,46,188
1475,47,268435456,47,189
1475,89,268435457,89,189
1475,174,268435458,174,189
1475,191,268435459,191,189
1475,197,268435460,197,189
1475,238,268435461,238,189
1475,237,536870912,237,189
1475,196,536870913,196,189
1475,190,536870914,190,189
1475,173,536870915,173,189
1475,88,536870916,88,189
1475,46,536870917,46,189
1475,47,268435456,47,190
1475,89,268435457,89,190
1475,173,268435458,173,190
1475,192,268435459,192,190
1475,196,268435460,196,190
1475,238,268435461,238,190
1475,237,536870912,237,190
1475,195,536870913,195,190
1475,191,536870914,191,190
1475,172,536870915,172,190
1475,88,536870916,88,190
1475,46,536870917,46,190
1475,47,268435456,47,191
1475,89,268435457,89,191
1475,173,268435458,173,191
1475,238,268435459,238,191
1475,237,536870912,237,191
1475,172,536870913,172,191
1475,88,536870914,88,191
1475,46,536870915,46,191
1475,48,268435456,48,192
1475,86,268435457,86,192
1475,172,268435458,172,192
1475,239,268435459,239,192
1475,238,536870912,238,192
1475,171,536870913,171,192
1475,85,536870914,85,192
1475,47,536870915,47,192
1475,49,268435456,49,193
1475,80,268435457,80,193
1475,172,268435458,172,193
1475,239,268435459,239,193
1475,238,536870912,238,193
1475,171,536870913,171,193
1475,79,536870914,79,193
1475,48,536870915,48,193
1475,51,268435456,51,194
1475,78,268435457,78,194
1475,173,268435458,173,194
1475,239,268435459,239,194
1475,240,268435460,240,194
1475,241,268435461,241,194
1475,240,536870912,240,194
