Frame,Part of frame,Layer,X,Y
1760,315,536870914,315,147
1760,263,536870915,263,147
1760,240,536870916,240,147
1760,234,536870917,234,147
1760,235,268435456,235,148
1760,240,268435457,240,148
1760,263,268435458,263,148
1760,316,268435459,316,148
1760,419,268435460,419,148
1760,435,268435461,435,148
1760,434,536870912,434,148
1760,418,536870913,418,148
1760,315,536870914,315,148
1760,262,536870915,262,148
1760,239,536870916,239,148
1760,234,536870917,234,148
1760,235,268435456,235,149
1760,240,268435457,240,149
1760,263,268435458,263,149
1760,316,268435459,316,149
1760,419,268435460,419,149
1760,435,268435461,435,149
1760,434,536870912,434,149
1760,418,536870913,418,149
1760,315,536870914,315,149
1760,262,536870915,262,149
1760,239,536870916,239,149
1760,234,536870917,234,149
1760,235,268435456,235,150
1760,240,268435457,240,150
1760,262,268435458,262,150
1760,317,268435459,317,150
1760,418,268435460,418,150
1760,435,268435461,435,150
1760,434,536870912,434,150
1760,417,536870913,417,150
1760,316,536870914,316,150
1760,261,536870915,261,150
1760,239,536870916,239,150
1760,234,536870917,234,150
1760,235,268435456,235,151
1760,240,268435457,240,151
1760,261,268435458,261,151
1760,317,268435459,317,151
1760,418,268435460,418,151
1760,435,268435461,435,151
1760,434,536870912,434,151
1760,417,536870913,417,151
1760,316,536870914,316,151
1760,260,536870915,260,151
1760,239,536870916,239,151
1760,234,536870917,234,151
1760,235,268435456,235,152
1760,240,268435457,240,152
1760,260,268435458,260,152
1760,317,268435459,317,152
1760,417,268435460,417,152
1760,434,268435461,434,152
1760,433,536870912,433,152
1760,416,536870913,416,152
1760,316,536870914,316,152
1760,259,536870915,259,152
1760,239,536870916,239,152
1760,234,536870917,234,152
1760,235,268435456,235,153
1760,240,268435457,240,153
1760,259,268435458,259,153
1760,317,268435459,317,153
1760,416,268435460,416,153
1760,434,268435461,434,153
1760,433,536870912,433,153
1760,415,536870913,415,153
1760,316,536870914,316,153
1760,258,536870915,258,153
1760,239,536870916,239,153
1760,234,536870917,234,153
1760,235,268435456,235,154
1760,240,268435457,240,154
1760,258,268435458,258,154
1760,317,268435459,317,154
1760,415,268435460,415,154
1760,434,268435461,434,154
1760,433,536870912,433,154
1760,414,536870913,414,154
1760,316,536870914,316,154
1760,257,536870915,257,154
1760,239,536870916,239,154
1760,234,536870917,234,154
1760,235,268435456,235,155
1760,240,268435457,240,155
1760,257,268435458,257,155
1760,317,268435459,317,155
1760,415,268435460,415,155
1760,433,268435461,433,155
1760,432,536870912,432,155
1760,414,536870913,414,155
1760,316,536870914,316,155
1760,256,536870915,256,155
1760,239,536870916,239,155
1760,234,536870917,234,155
1760,235,268435456,235,156
1760,240,268435457,240,156
1760,256,268435458,256,156
1760,318,268435459,318,156
1760,414,268435460,414,156
1760,433,268435461,433,156
1760,432,536870912,432,156
1760,413,536870913,413,156
1760,317,536870914,317,156
1760,255,536870915,255,156
1760,239,536870916,239,156
1760,234,536870917,234,156
1760,235,268435456,235,157
1760,240,268435457,240,157
1760,255,268435458,255,157
1760,318,268435459,318,157
1760,414,268435460,414,157
1760,432,268435461,432,157
1760,431,536870912,431,157
1760,413,536870913,413,157
1760,317,536870914,317,157
1760,254,536870915,254,157
1760,239,536870916,239,157
1760,234,536870917,234,157
1760,236,268435456,236,158
1760,240,268435457,240,158
1760,254,268435458,254,158
1760,318,268435459,318,158
1760,413,268435460,413,158
1760,432,268435461,432,158
1760,431,536870912,431,158
1760,412,536870913,412,158
1760,317,536870914,317,158
1760,253,536870915,253,158
1760,239,536870916,239,158
1760,235,536870917,235,158
1760,236,268435456,236,159
1760,240,268435457,240,159
1760,253,268435458,253,159
1760,318,268435459,318,159
1760,412,268435460,412,159
1760,431,268435461,431,159
1760,430,536870912,430,159
1760,411,536870913,411,159
1760,317,536870914,317,159
1760,252,536870915,252,159
1760,239,536870916,239,159
1760,235,536870917,235,159
1760,236,268435456,236,160
1760,240,268435457,240,160
1760,251,268435458,251,160
1760,318,268435459,318,160
1760,412,268435460,412,160
1760,431,268435461,431,160
1760,430,536870912,430,160
1760,411,536870913,411,160
1760,317,536870914,317,160
1760,250,536870915,250,160
1760,239,536870916,239,160
1760,235,536870917,235,160
1760,236,268435456,236,161
1760,240,268435457,240,161
1760,251,268435458,251,161
1760,319,268435459,319,161
1760,411,268435460,411,161
1760,430,268435461,430,161
1760,429,536870912,429,161
1760,410,536870913,410,161
1760,318,536870914,318,161
1760,250,536870915,250,161
1760,239,536870916,239,161
1760,235,536870917,235,161
1760,236,268435456,236,162
1760,240,268435457,240,162
1760,250,268435458,250,162
1760,319,268435459,319,162
1760,410,268435460,410,162
1760,429,268435461,429,162
1760,428,536870912,428,162
1760,409,536870913,409,162
1760,318,536870914,318,162
1760,249,536870915,249,162
1760,239,536870916,239,162
1760,235,536870917,235,162
1760,236,268435456,236,163
1760,241,268435457,241,163
1760,250,268435458,250,163
1760,319,268435459,319,163
1760,410,268435460,410,163
1760,429,268435461,429,163
1760,428,536870912,428,163
1760,409,536870913,409,163
1760,318,536870914,318,163
1760,249,536870915,249,163
1760,240,536870916,240,163
1760,235,536870917,235,163
1760,237,268435456,237,164
1760,241,268435457,241,164
1760,249,268435458,249,164
1760,319,268435459,319,164
1760,409,268435460,409,164
1760,428,268435461,428,164
1760,427,536870912,427,164
1760,408,536870913,408,164
1760,318,536870914,318,164
1760,248,536870915,248,164
1760,240,536870916,240,164
1760,236,536870917,236,164
1760,238,268435456,238,165
1760,242,268435457,242,165
1760,250,268435458,250,165
1760,319,268435459,319,165
1760,408,268435460,408,165
1760,427,268435461,427,165
1760,426,536870912,426,165
1760,407,536870913,407,165
1760,318,536870914,318,165
1760,249,536870915,249,165
1760,241,536870916,241,165
1760,237,536870917,237,165
1760,238,268435456,238,166
1760,242,268435457,242,166
1760,254,268435458,254,166
1760,319,268435459,319,166
1760,408,268435460,408,166
1760,427,268435461,427,166
1760,426,536870912,426,166
1760,407,536870913,407,166
1760,318,536870914,318,166
1760,253,536870915,253,166
1760,241,536870916,241,166
1760,237,536870917,237,166
1760,239,268435456,239,167
1760,243,268435457,243,167
1760,254,268435458,254,167
1760,313,268435459,313,167
1760,316,268435460,316,167
1760,319,268435461,319,167
1760,407,268435462,407,167
1760,426,268435463,426,167
1760,425,536870912,425,167
1760,406,536870913,406,167
1760,318,536870914,318,167
1760,315,536870915,315,167
1760,312,536870916,312,167
1760,253,536870917,253,167
1760,242,536870918,242,167
1760,238,536870919,238,167
1760,240,268435456,240,168
1760,244,268435457,244,168
1760,254,268435458,254,168
1760,313,268435459,313,168
1760,317,268435460,317,168
1760,318,268435461,318,168
1760,406,268435462,406,168
1760,426,268435463,426,168
1760,425,536870912,425,168
1760,405,536870913,405,168
1760,317,536870914,317,168
1760,316,536870915,316,168
1760,312,536870916,312,168
1760,253,536870917,253,168
1760,243,536870918,243,168
1760,239,536870919,239,168
1760,242,268435456,242,169
1760,244,268435457,244,169
1760,253,268435458,253,169
1760,313,268435459,313,169
1760,317,268435460,317,169
1760,318,268435461,318,169
1760,406,268435462,406,169
1760,425,268435463,425,169
1760,424,536870912,424,169
1760,405,536870913,405,169
1760,317,536870914,317,169
1760,316,536870915,316,169
1760,312,536870916,312,169
1760,252,536870917,252,169
1760,243,536870918,243,169
1760,241,536870919,241,169
1760,252,268435456,252,170
1760,313,268435457,313,170
1760,400,268435458,400,170
1760,424,268435459,424,170
1760,423,536870912,423,170
1760,399,536870913,399,170
1760,312,536870914,312,170
1760,251,536870915,251,170
1760,251,268435456,251,171
1760,313,268435457,313,171
1760,387,268435458,387,171
