Frame,Part of frame,Layer,X,Y
3765,325,268435458,325,283
3765,334,268435459,334,283
3765,385,268435460,385,283
3765,384,536870912,384,283
3765,333,536870913,333,283
3765,324,536870914,324,283
3765,321,536870915,321,283
3765,199,536870916,199,283
3765,201,268435456,201,284
3765,321,268435457,321,284
3765,325,268435458,325,284
3765,334,268435459,334,284
3765,385,268435460,385,284
3765,384,536870912,384,284
3765,333,536870913,333,284
3765,324,536870914,324,284
3765,320,536870915,320,284
3765,200,536870916,200,284
3765,201,268435456,201,285
3765,321,268435457,321,285
3765,325,268435458,325,285
3765,334,268435459,334,285
3765,385,268435460,385,285
3765,384,536870912,384,285
3765,333,536870913,333,285
3765,324,536870914,324,285
3765,320,536870915,320,285
3765,200,536870916,200,285
3765,202,268435456,202,286
3765,321,268435457,321,286
3765,325,268435458,325,286
3765,334,268435459,334,286
3765,385,268435460,385,286
3765,384,536870912,384,286
3765,333,536870913,333,286
3765,324,536870914,324,286
3765,320,536870915,320,286
3765,201,536870916,201,286
3765,202,268435456,202,287
3765,321,268435457,321,287
3765,325,268435458,325,287
3765,334,268435459,334,287
3765,385,268435460,385,287
3765,384,536870912,384,287
3765,333,536870913,333,287
3765,324,536870914,324,287
3765,320,536870915,320,287
3765,201,536870916,201,287
3765,203,268435456,203,288
3765,321,268435457,321,288
3765,325,268435458,325,288
3765,334,268435459,334,288
3765,385,268435460,385,288
3765,384,536870912,384,288
3765,333,536870913,333,288
3765,324,536870914,324,288
3765,320,536870915,320,288
3765,202,536870916,202,288
3765,204,268435456,204,289
3765,321,268435457,321,289
3765,326,268435458,326,289
3765,334,268435459,334,289
3765,385,268435460,385,289
3765,384,536870912,384,289
3765,333,536870913,333,289
3765,325,536870914,325,289
3765,320,536870915,320,289
3765,203,536870916,203,289
3765,204,268435456,204,290
3765,321,268435457,321,290
3765,326,268435458,326,290
3765,334,268435459,334,290
3765,384,268435460,384,290
3765,383,536870912,383,290
3765,333,536870913,333,290
3765,325,536870914,325,290
3765,320,536870915,320,290
3765,203,536870916,203,290
3765,205,268435456,205,291
3765,320,268435457,320,291
3765,326,268435458,326,291
3765,334,268435459,334,291
3765,384,268435460,384,291
3765,383,536870912,383,291
3765,333,536870913,333,291
3765,325,536870914,325,291
3765,319,536870915,319,291
3765,204,536870916,204,291
3765,206,268435456,206,292
3765,320,268435457,320,292
3765,326,268435458,326,292
3765,334,268435459,334,292
3765,384,268435460,384,292
3765,383,536870912,383,292
3765,333,536870913,333,292
3765,325,536870914,325,292
3765,319,536870915,319,292
3765,205,536870916,205,292
3765,207,268435456,207,293
3765,320,268435457,320,293
3765,326,268435458,326,293
3765,334,268435459,334,293
3765,384,268435460,384,293
3765,383,536870912,383,293
3765,333,536870913,333,293
3765,325,536870914,325,293
3765,319,536870915,319,293
3765,206,536870916,206,293
3765,208,268435456,208,294
3765,320,268435457,320,294
3765,326,268435458,326,294
3765,334,268435459,334,294
3765,385,268435460,385,294
3765,388,268435461,388,294
3765,389,268435462,389,294
3765,388,536870912,388,294
3765,387,536870913,387,294
3765,384,536870914,384,294
3765,333,536870915,333,294
3765,325,536870916,325,294
3765,319,536870917,319,294
3765,207,536870918,207,294
3765,209,268435456,209,295
3765,320,268435457,320,295
3765,326,268435458,326,295
3765,334,268435459,334,295
3765,385,268435460,385,295
3765,387,268435461,387,295
3765,389,268435462,389,295
3765,388,536870912,388,295
3765,386,536870913,386,295
3765,384,536870914,384,295
3765,333,536870915,333,295
3765,325,536870916,325,295
3765,319,536870917,319,295
3765,208,536870918,208,295
3765,210,268435456,210,296
3765,320,268435457,320,296
3765,326,268435458,326,296
3765,334,268435459,334,296
3765,389,268435460,389,296
3765,388,536870912,388,296
3765,333,536870913,333,296
3765,325,536870914,325,296
3765,319,536870915,319,296
3765,209,536870916,209,296
3765,211,268435456,211,297
3765,320,268435457,320,297
3765,326,268435458,326,297
3765,334,268435459,334,297
3765,389,268435460,389,297
3765,388,536870912,388,297
3765,333,536870913,333,297
3765,325,536870914,325,297
3765,319,536870915,319,297
3765,210,536870916,210,297
3765,212,268435456,212,298
3765,320,268435457,320,298
3765,326,268435458,326,298
3765,334,268435459,334,298
3765,389,268435460,389,298
3765,388,536870912,388,298
3765,333,536870913,333,298
3765,325,536870914,325,298
3765,319,536870915,319,298
3765,211,536870916,211,298
3765,213,268435456,213,299
3765,320,268435457,320,299
3765,326,268435458,326,299
3765,334,268435459,334,299
3765,389,268435460,389,299
3765,388,536870912,388,299
3765,333,536870913,333,299
3765,325,536870914,325,299
3765,319,536870915,319,299
3765,212,536870916,212,299
3765,214,268435456,214,300
3765,320,268435457,320,300
3765,326,268435458,326,300
3765,334,268435459,334,300
3765,389,268435460,389,300
3765,388,536870912,388,300
3765,333,536870913,333,300
3765,325,536870914,325,300
3765,319,536870915,319,300
3765,213,536870916,213,300
3765,215,268435456,215,301
3765,320,268435457,320,301
3765,326,268435458,326,301
3765,334,268435459,334,301
3765,388,268435460,388,301
3765,387,536870912,387,301
3765,333,536870913,333,301
3765,325,536870914,325,301
3765,319,536870915,319,301
3765,214,536870916,214,301
3765,216,268435456,216,302
3765,320,268435457,320,302
3765,326,268435458,326,302
3765,334,268435459,334,302
3765,388,268435460,388,302
3765,387,536870912,387,302
3765,333,536870913,333,302
3765,325,536870914,325,302
3765,319,536870915,319,302
3765,215,536870916,215,302
3765,217,268435456,217,303
3765,320,268435457,320,303
3765,326,268435458,326,303
3765,335,268435459,335,303
3765,388,268435460,388,303
3765,387,536870912,387,303
3765,334,536870913,334,303
3765,325,536870914,325,303
3765,319,536870915,319,303
3765,216,536870916,216,303
3765,219,268435456,219,304
3765,320,268435457,320,304
3765,326,268435458,326,304
3765,335,268435459,335,304
3765,388,268435460,388,304
3765,387,536870912,387,304
3765,334,536870913,334,304
3765,325,536870914,325,304
3765,319,536870915,319,304
3765,218,536870916,218,304
3765,220,268435456,220,305
3765,320,268435457,320,305
3765,327,268435458,327,305
3765,334,268435459,334,305
3765,388,268435460,388,305
3765,387,536870912,387,305
3765,333,536870913,333,305
3765,326,536870914,326,305
3765,319,536870915,319,305
3765,219,536870916,219,305
3765,221,268435456,221,306
3765,320,268435457,320,306
3765,327,268435458,327,306
3765,334,268435459,334,306
3765,388,268435460,388,306
3765,387,536870912,387,306
3765,333,536870913,333,306
3765,326,536870914,326,306
3765,319,536870915,319,306
3765,220,536870916,220,306
3765,222,268435456,222,307
3765,321,268435457,321,307
3765,326,268435458,326,307
3765,335,268435459,335,307
3765,388,268435460,388,307
3765,387,536870912,387,307
3765,334,536870913,334,307
3765,325,536870914,325,307
3765,320,536870915,320,307
3765,221,536870916,221,307
3765,223,268435456,223,308
3765,321,268435457,321,308
3765,326,268435458,326,308
3765,335,268435459,335,308
3765,388,268435460,388,308
3765,387,536870912,387,308
3765,334,536870913,334,308
3765,325,536870914,325,308
3765,320,536870915,320,308
3765,222,536870916,222,308
3765,224,268435456,224,309
3765,322,268435457,322,309
3765,326,268435458,326,309
3765,335,268435459,335,309
3765,388,268435460,388,309
3765,395,268435461,395,309
3765,396,268435462,396,309
3765,395,536870912,395,309
3765,394,536870913,394,309
3765,387,536870914,387,309
3765,334,536870915,334,309
3765,325,536870916,325,309
3765,321,536870917,321,309
3765,223,536870918,223,309
3765,225,268435456,225,310
3765,322,268435457,322,310
3765,327,268435458,327,310
3765,335,268435459,335,310
3765,388,268435460,388,310
3765,394,268435461,394,310
3765,396,268435462,396,310
3765,395,536870912,395,310
3765,393,536870913,393,310
3765,387,536870914,387,310
3765,334,536870915,334,310
3765,326,536870916,326,310
3765,321,536870917,321,310
3765,224,536870918,224,310
3765,226,268435456,226,311
3765,322,268435457,322,311
3765,327,268435458,327,311
3765,335,268435459,335,311
3765,388,268435460,388,311
3765,393,268435461,393,311
3765,396,268435462,396,311
3765,395,536870912,395,311
3765,392,536870913,392,311
3765,387,536870914,387,311
3765,334,536870915,334,311
3765,326,536870916,326,311
3765,321,536870917,321,311
3765,225,536870918,225,311
3765,227,268435456,227,312
3765,323,268435457,323,312
3765,327,268435458,327,312
3765,335,268435459,335,312
3765,388,268435460,388,312
3765,392,268435461,392,312
3765,396,268435462,396,312
3765,395,536870912,395,312
3765,391,536870913,391,312
3765,387,536870914,387,312
3765,334,536870915,334,312
3765,326,536870916,326,312
3765,322,536870917,322,312
3765,226,536870918,226,312
3765,228,268435456,228,313
3765,323,268435457,323,313
3765,327,268435458,327,313
3765,335,268435459,335,313
3765,389,268435460,389,313
3765,392,268435461,392,313
3765,395,268435462,395,313
3765,394,536870912,394,313
3765,391,536870913,391,313
3765,388,536870914,388,313
3765,334,536870915,334,313
3765,326,536870916,326,313
3765,322,536870917,322,313
3765,227,536870918,227,313
3765,229,268435456,229,314
3765,324,268435457,324,314
3765,327,268435458,327,314
3765,335,268435459,335,314
3765,390,268435460,390,314
3765,391,268435461,391,314
3765,395,268435462,395,314
3765,394,536870912,394,314
3765,390,536870913,390,314
3765,389,536870914,389,314
3765,334,536870915,334,314
3765,326,536870916,326,314
3765,323,536870917,323,314
3765,228,536870918,228,314
3765,230,268435456,230,315
3765,324,268435457,324,315
3765,327,268435458,327,315
3765,335,268435459,335,315
3765,395,268435460,395,315
3765,394,536870912,394,315
3765,334,536870913,334,315
3765,326,536870914,326,315
3765,323,536870915,323,315
3765,229,536870916,229,315
3765,231,268435456,231,316
3765,324,268435457,324,316
3765,327,268435458,327,316
3765,335,268435459,335,316
3765,395,268435460,395,316
3765,394,536870912,394,316
3765,334,536870913,334,316
3765,326,536870914,326,316
3765,323,536870915,323,316
3765,230,536870916,230,316
3765,231,268435456,231,317
3765,325,268435457,325,317
3765,327,268435458,327,317
3765,336,268435459,336,317
3765,395,268435460,395,317
3765,394,536870912,394,317
3765,335,536870913,335,317
3765,326,536870914,326,317
3765,324,536870915,324,317
3765,230,536870916,230,317
3765,232,268435456,232,318
3765,325,268435457,325,318
3765,327,268435458,327,318
3765,336,268435459,336,318
3765,394,268435460,394,318
3765,393,536870912,393,318
3765,335,536870913,335,318
3765,326,536870914,326,318
3765,324,536870915,324,318
3765,231,536870916,231,318
3765,232,268435456,232,319
3765,336,268435457,336,319
3765,394,268435458,394,319
3765,404,268435459,404,319
3765,406,268435460,406,319
3765,405,536870912,405,319
3765,403,536870913,403,319
3765,393,536870914,393,319
3765,335,536870915,335,319
3765,231,536870916,231,319
3765,232,268435456,232,320
3765,336,268435457,336,320
3765,394,268435458,394,320
3765,403,268435459,403,320
3765,406,268435460,406,320
3765,405,536870912,405,320
3765,402,536870913,402,320
3765,393,536870914,393,320
3765,335,536870915,335,320
3765,231,536870916,231,320
3765,231,268435456,231,321
3765,336,268435457,336,321
3765,394,268435458,394,321
3765,402,268435459,402,321
3765,405,268435460,405,321
3765,404,536870912,404,321
3765,401,536870913,401,321
3765,393,536870914,393,321
3765,335,536870915,335,321
3765,230,536870916,230,321
3765,231,268435456,231,322
3765,336,268435457,336,322
3765,394,268435458,394,322
3765,401,268435459,401,322
3765,405,268435460,405,322
3765,404,536870912,404,322
3765,400,536870913,400,322
3765,393,536870914,393,322
3765,335,536870915,335,322
3765,230,536870916,230,322
3765,231,268435456,231,323
3765,336,268435457,336,323
3765,394,268435458,394,323
3765,399,268435459,399,323
3765,405,268435460,405,323
3765,404,536870912,404,323
3765,398,536870913,398,323
3765,393,536870914,393,323
3765,335,536870915,335,323
3765,230,536870916,230,323
3765,231,268435456,231,324
3765,336,268435457,336,324
3765,394,268435458,394,324
3765,398,268435459,398,324
3765,405,268435460,405,324
3765,404,536870912,404,324
3765,397,536870913,397,324
3765,393,536870914,393,324
3765,335,536870915,335,324
3765,230,536870916,230,324
3765,231,268435456,231,325
3765,336,268435457,336,325
3765,395,268435458,395,325
3765,396,268435459,396,325
3765,404,268435460,404,325
3765,419,268435461,419,325
3765,420,268435462,420,325
3765,419,536870912,419,325
3765,418,536870913,418,325
3765,403,536870914,403,325
3765,395,536870915,395,325
3765,394,536870916,394,325
3765,335,536870917,335,325
3765,230,536870918,230,325
3765,230,268435456,230,326
3765,337,268435457,337,326
3765,404,268435458,404,326
3765,418,268435459,418,326
3765,420,268435460,420,326
3765,419,536870912,419,326
3765,417,536870913,417,326
3765,403,536870914,403,326
3765,336,536870915,336,326
3765,229,536870916,229,326
3765,230,268435456,230,327
3765,337,268435457,337,327
3765,404,268435458,404,327
3765,417,268435459,417,327
3765,419,268435460,419,327
3765,418,536870912,418,327
3765,416,536870913,416,327
3765,403,536870914,403,327
3765,336,536870915,336,327
3765,229,536870916,229,327
3765,230,268435456,230,328
3765,337,268435457,337,328
3765,404,268435458,404,328
3765,417,268435459,417,328
3765,419,268435460,419,328
3765,418,536870912,418,328
3765,416,536870913,416,328
3765,403,536870914,403,328
3765,336,536870915,336,328
3765,229,536870916,229,328
3765,229,268435456,229,329
3765,337,268435457,337,329
3765,404,268435458,404,329
3765,417,268435459,417,329
3765,419,268435460,419,329
3765,418,536870912,418,329
3765,416,536870913,416,329
3765,403,536870914,403,329
3765,336,536870915,336,329
3765,228,536870916,228,329
3765,228,268435456,228,330
3765,337,268435457,337,330
3765,403,268435458,403,330
3765,416,268435459,416,330
3765,418,268435460,418,330
3765,417,536870912,417,330
3765,415,536870913,415,330
3765,402,536870914,402,330
3765,336,536870915,336,330
3765,227,536870916,227,330
3765,227,268435456,227,331
3765,337,268435457,337,331
3765,403,268435458,403,331
3765,416,268435459,416,331
3765,418,268435460,418,331
3765,417,536870912,417,331
3765,415,536870913,415,331
3765,402,536870914,402,331
3765,336,536870915,336,331
3765,226,536870916,226,331
3765,226,268435456,226,332
3765,337,268435457,337,332
3765,403,268435458,403,332
3765,416,268435459,416,332
3765,418,268435460,418,332
3765,417,536870912,417,332
3765,415,536870913,415,332
3765,402,536870914,402,332
3765,336,536870915,336,332
3765,225,536870916,225,332
3765,225,268435456,225,333
3765,338,268435457,338,333
3765,403,268435458,403,333
3765,415,268435459,415,333
3765,418,268435460,418,333
3765,417,536870912,417,333
3765,414,536870913,414,333
3765,402,536870914,402,333
3765,337,536870915,337,333
3765,224,536870916,224,333
3765,225,268435456,225,334
3765,338,268435457,338,334
3765,404,268435458,404,334
3765,406,268435459,406,334
3765,407,268435460,407,334
3765,415,268435461,415,334
3765,417,268435462,417,334
3765,416,536870912,416,334
3765,414,536870913,414,334
3765,406,536870914,406,334
3765,405,536870915,405,334
3765,403,536870916,403,334
3765,337,536870917,337,334
3765,224,536870918,224,334
3765,224,268435456,224,335
3765,338,268435457,338,335
3765,406,268435458,406,335
3765,412,268435459,412,335
3765,413,268435460,413,335
3765,415,268435461,415,335
3765,417,268435462,417,335
3765,416,536870912,416,335
3765,414,536870913,414,335
3765,412,536870914,412,335
3765,411,536870915,411,335
3765,405,536870916,405,335
3765,337,536870917,337,335
3765,223,536870918,223,335
3765,224,268435456,224,336
3765,338,268435457,338,336
3765,406,268435458,406,336
3765,412,268435459,412,336
3765,413,268435460,413,336
3765,415,268435461,415,336
3765,417,268435462,417,336
3765,459,268435463,459,336
3765,460,268435464,460,336
3765,459,536870912,459,336
3765,458,536870913,458,336
3765,416,536870914,416,336
3765,414,536870915,414,336
3765,412,536870916,412,336
3765,411,536870917,411,336
3765,405,536870918,405,336
3765,337,536870919,337,336
3765,223,536870920,223,336
3765,224,268435456,224,337
3765,338,268435457,338,337
3765,406,268435458,406,337
3765,411,268435459,411,337
3765,413,268435460,413,337
3765,414,268435461,414,337
3765,416,268435462,416,337
3765,458,268435463,458,337
3765,459,268435464,459,337
3765,458,536870912,458,337
3765,457,536870913,457,337
3765,415,536870914,415,337
3765,413,536870915,413,337
3765,412,536870916,412,337
3765,410,536870917,410,337
3765,405,536870918,405,337
3765,337,536870919,337,337
3765,223,536870920,223,337
3765,223,268435456,223,338
3765,338,268435457,338,338
3765,406,268435458,406,338
3765,410,268435459,410,338
3765,416,268435460,416,338
3765,458,268435461,458,338
3765,459,268435462,459,338
3765,458,536870912,458,338
3765,457,536870913,457,338
3765,415,536870914,415,338
3765,409,536870915,409,338
3765,405,536870916,405,338
3765,337,536870917,337,338
3765,222,536870918,222,338
3765,223,268435456,223,339
3765,338,268435457,338,339
3765,408,268435458,408,339
