Frame,Part of frame,Layer,X,Y
2824,301,536870913,301,204
2824,12,536870914,12,204
2824,12,268435456,12,205
2824,302,268435457,302,205
2824,369,268435458,369,205
2824,368,536870912,368,205
2824,301,536870913,301,205
2824,11,536870914,11,205
2824,12,268435456,12,206
2824,303,268435457,303,206
2824,369,268435458,369,206
2824,368,536870912,368,206
2824,302,536870913,302,206
2824,11,536870914,11,206
2824,12,268435456,12,207
2824,303,268435457,303,207
2824,369,268435458,369,207
2824,368,536870912,368,207
2824,302,536870913,302,207
2824,11,536870914,11,207
2824,12,268435456,12,208
2824,303,268435457,303,208
2824,368,268435458,368,208
2824,367,536870912,367,208
2824,302,536870913,302,208
2824,11,536870914,11,208
2824,12,268435456,12,209
2824,303,268435457,303,209
2824,368,268435458,368,209
2824,367,536870912,367,209
2824,302,536870913,302,209
2824,11,536870914,11,209
2824,11,268435456,11,210
2824,303,268435457,303,210
2824,368,268435458,368,210
2824,367,536870912,367,210
2824,302,536870913,302,210
2824,10,536870914,10,210
2824,11,268435456,11,211
2824,303,268435457,303,211
2824,368,268435458,368,211
2824,367,536870912,367,211
2824,302,536870913,302,211
2824,10,536870914,10,211
2824,11,268435456,11,212
2824,303,268435457,303,212
2824,368,268435458,368,212
2824,367,536870912,367,212
2824,302,536870913,302,212
2824,10,536870914,10,212
2824,11,268435456,11,213
2824,304,268435457,304,213
2824,368,268435458,368,213
2824,367,536870912,367,213
2824,303,536870913,303,213
2824,10,536870914,10,213
2824,11,268435456,11,214
2824,304,268435457,304,214
2824,367,268435458,367,214
2824,366,536870912,366,214
2824,303,536870913,303,214
2824,10,536870914,10,214
2824,11,268435456,11,215
2824,304,268435457,304,215
2824,367,268435458,367,215
2824,366,536870912,366,215
2824,303,536870913,303,215
2824,10,536870914,10,215
2824,10,268435456,10,216
2824,304,268435457,304,216
2824,367,268435458,367,216
2824,366,536870912,366,216
2824,303,536870913,303,216
2824,9,536870914,9,216
2824,10,268435456,10,217
2824,304,268435457,304,217
2824,367,268435458,367,217
2824,366,536870912,366,217
2824,303,536870913,303,217
2824,9,536870914,9,217
2824,10,268435456,10,218
2824,304,268435457,304,218
2824,367,268435458,367,218
2824,366,536870912,366,218
2824,303,536870913,303,218
2824,9,536870914,9,218
2824,10,268435456,10,219
2824,304,268435457,304,219
2824,366,268435458,366,219
2824,365,536870912,365,219
2824,303,536870913,303,219
2824,9,536870914,9,219
2824,10,268435456,10,220
2824,303,268435457,303,220
2824,366,268435458,366,220
2824,365,536870912,365,220
2824,302,536870913,302,220
2824,9,536870914,9,220
2824,10,268435456,10,221
2824,303,268435457,303,221
2824,366,268435458,366,221
2824,365,536870912,365,221
2824,302,536870913,302,221
2824,9,536870914,9,221
2824,10,268435456,10,222
2824,302,268435457,302,222
2824,366,268435458,366,222
2824,365,536870912,365,222
2824,301,536870913,301,222
2824,9,536870914,9,222
2824,10,268435456,10,223
2824,302,268435457,302,223
2824,365,268435458,365,223
2824,364,536870912,364,223
2824,301,536870913,301,223
2824,9,536870914,9,223
2824,10,268435456,10,224
2824,301,268435457,301,224
2824,365,268435458,365,224
2824,364,536870912,364,224
2824,300,536870913,300,224
2824,9,536870914,9,224
2824,10,268435456,10,225
2824,301,268435457,301,225
2824,365,268435458,365,225
2824,364,536870912,364,225
2824,300,536870913,300,225
2824,9,536870914,9,225
2824,10,268435456,10,226
2824,301,268435457,301,226
2824,365,268435458,365,226
2824,364,536870912,364,226
2824,300,536870913,300,226
2824,9,536870914,9,226
2824,10,268435456,10,227
2824,300,268435457,300,227
2824,364,268435458,364,227
2824,363,536870912,363,227
2824,299,536870913,299,227
2824,9,536870914,9,227
