Frame,Part of frame,Layer,X,Y
781,263,268435456,263,207
781,371,268435457,371,207
781,370,536870912,370,207
781,262,536870913,262,207
781,263,268435456,263,208
781,371,268435457,371,208
781,370,536870912,370,208
781,262,536870913,262,208
781,263,268435456,263,209
781,371,268435457,371,209
781,370,536870912,370,209
781,262,536870913,262,209
781,262,268435456,262,210
781,372,268435457,372,210
781,371,536870912,371,210
781,261,536870913,261,210
781,262,268435456,262,211
781,372,268435457,372,211
781,371,536870912,371,211
781,261,536870913,261,211
781,262,268435456,262,212
781,372,268435457,372,212
781,371,536870912,371,212
781,261,536870913,261,212
781,262,268435456,262,213
781,372,268435457,372,213
781,371,536870912,371,213
781,261,536870913,261,213
781,262,268435456,262,214
781,372,268435457,372,214
781,371,536870912,371,214
781,261,536870913,261,214
781,261,268435456,261,215
781,373,268435457,373,215
781,372,536870912,372,215
781,260,536870913,260,215
781,261,268435456,261,216
781,373,268435457,373,216
781,372,536870912,372,216
781,260,536870913,260,216
781,261,268435456,261,217
781,373,268435457,373,217
781,372,536870912,372,217
781,260,536870913,260,217
781,260,268435456,260,218
781,373,268435457,373,218
781,372,536870912,372,218
781,259,536870913,259,218
781,260,268435456,260,219
781,373,268435457,373,219
781,372,536870912,372,219
781,259,536870913,259,219
781,260,268435456,260,220
781,373,268435457,373,220
781,372,536870912,372,220
781,259,536870913,259,220
781,259,268435456,259,221
781,374,268435457,374,221
781,373,536870912,373,221
781,258,536870913,258,221
781,259,268435456,259,222
781,374,268435457,374,222
781,373,536870912,373,222
781,258,536870913,258,222
781,258,268435456,258,223
781,374,268435457,374,223
781,373,536870912,373,223
781,257,536870913,257,223
781,257,268435456,257,224
781,375,268435457,375,224
781,374,536870912,374,224
781,256,536870913,256,224
781,256,268435456,256,225
781,375,268435457,375,225
781,374,536870912,374,225
781,255,536870913,255,225
781,255,268435456,255,226
781,375,268435457,375,226
781,374,536870912,374,226
781,254,536870913,254,226
781,254,268435456,254,227
781,375,268435457,375,227
781,374,536870912,374,227
781,253,536870913,253,227
781,253,268435456,253,228
781,375,268435457,375,228
781,374,536870912,374,228
781,252,536870913,252,228
781,253,268435456,253,229
781,376,268435457,376,229
781,375,536870912,375,229
781,252,536870913,252,229
781,252,268435456,252,230
781,376,268435457,376,230
781,375,536870912,375,230
781,251,536870913,251,230
781,251,268435456,251,231
781,376,268435457,376,231
781,375,536870912,375,231
781,250,536870913,250,231
781,250,268435456,250,232
781,376,268435457,376,232
781,375,536870912,375,232
781,249,536870913,249,232
781,250,268435456,250,233
781,377,268435457,377,233
781,376,536870912,376,233
781,249,536870913,249,233
781,249,268435456,249,234
781,377,268435457,377,234
781,376,536870912,376,234
781,248,536870913,248,234
781,248,268435456,248,235
781,377,268435457,377,235
781,376,536870912,376,235
781,247,536870913,247,235
781,247,268435456,247,236
781,377,268435457,377,236
781,376,536870912,376,236
781,246,536870913,246,236
