Frame,Part of frame,Layer,X,Y
4420,22,536870916,22,273
4420,11,536870917,11,273
4420,11,268435456,11,274
4420,22,268435457,22,274
4420,102,268435458,102,274
4420,212,268435459,212,274
4420,217,268435460,217,274
4420,219,268435461,219,274
4420,218,536870912,218,274
4420,216,536870913,216,274
4420,211,536870914,211,274
4420,101,536870915,101,274
4420,21,536870916,21,274
4420,10,536870917,10,274
4420,10,268435456,10,275
4420,20,268435457,20,275
4420,100,268435458,100,275
4420,212,268435459,212,275
4420,217,268435460,217,275
4420,218,268435461,218,275
4420,217,536870912,217,275
4420,216,536870913,216,275
4420,211,536870914,211,275
4420,99,536870915,99,275
4420,19,536870916,19,275
4420,9,536870917,9,275
4420,10,268435456,10,276
4420,18,268435457,18,276
4420,97,268435458,97,276
4420,212,268435459,212,276
4420,211,536870912,211,276
4420,96,536870913,96,276
4420,17,536870914,17,276
4420,9,536870915,9,276
4420,10,268435456,10,277
4420,16,268435457,16,277
4420,95,268435458,95,277
4420,212,268435459,212,277
4420,211,536870912,211,277
4420,94,536870913,94,277
4420,15,536870914,15,277
4420,9,536870915,9,277
4420,10,268435456,10,278
4420,14,268435457,14,278
4420,92,268435458,92,278
4420,212,268435459,212,278
4420,211,536870912,211,278
4420,91,536870913,91,278
4420,13,536870914,13,278
4420,9,536870915,9,278
4420,10,268435456,10,279
4420,13,268435457,13,279
4420,90,268435458,90,279
4420,213,268435459,213,279
4420,212,536870912,212,279
4420,89,536870913,89,279
4420,12,536870914,12,279
4420,9,536870915,9,279
4420,9,268435456,9,280
4420,13,268435457,13,280
4420,87,268435458,87,280
4420,213,268435459,213,280
4420,212,536870912,212,280
4420,86,536870913,86,280
4420,12,536870914,12,280
4420,8,536870915,8,280
4420,6,268435456,6,281
4420,13,268435457,13,281
4420,83,268435458,83,281
4420,213,268435459,213,281
4420,212,536870912,212,281
4420,82,536870913,82,281
4420,12,536870914,12,281
4420,5,536870915,5,281
4420,3,268435456,3,282
4420,13,268435457,13,282
4420,79,268435458,79,282
4420,213,268435459,213,282
4420,212,536870912,212,282
4420,78,536870913,78,282
4420,12,536870914,12,282
4420,2,536870915,2,282
4420,2,268435456,2,283
4420,12,268435457,12,283
4420,75,268435458,75,283
4420,213,268435459,213,283
4420,212,536870912,212,283
4420,74,536870913,74,283
4420,11,536870914,11,283
4420,1,536870915,1,283
4420,2,268435456,2,284
4420,11,268435457,11,284
4420,71,268435458,71,284
4420,213,268435459,213,284
4420,212,536870912,212,284
4420,70,536870913,70,284
4420,10,536870914,10,284
4420,1,536870915,1,284
4420,1,268435456,1,285
4420,11,268435457,11,285
4420,68,268435458,68,285
4420,213,268435459,213,285
4420,212,536870912,212,285
4420,67,536870913,67,285
4420,10,536870914,10,285
4420,0,536870915,0,285
4420,1,268435456,1,286
4420,10,268435457,10,286
4420,66,268435458,66,286
4420,213,268435459,213,286
4420,345,268435460,345,286
4420,348,268435461,348,286
4420,347,536870912,347,286
4420,344,536870913,344,286
4420,212,536870914,212,286
4420,65,536870915,65,286
4420,9,536870916,9,286
4420,0,536870917,0,286
4420,1,268435456,1,287
4420,8,268435457,8,287
4420,64,268435458,64,287
4420,213,268435459,213,287
4420,345,268435460,345,287
4420,349,268435461,349,287
4420,348,536870912,348,287
4420,344,536870913,344,287
4420,212,536870914,212,287
4420,63,536870915,63,287
4420,7,536870916,7,287
4420,0,536870917,0,287
4420,1,268435456,1,288
4420,7,268435457,7,288
4420,63,268435458,63,288
4420,213,268435459,213,288
4420,346,268435460,346,288
4420,350,268435461,350,288
4420,349,536870912,349,288
4420,345,536870913,345,288
4420,212,536870914,212,288
4420,62,536870915,62,288
4420,6,536870916,6,288
4420,0,536870917,0,288
4420,1,268435456,1,289
4420,6,268435457,6,289
4420,61,268435458,61,289
4420,213,268435459,213,289
4420,212,536870912,212,289
4420,60,536870913,60,289
4420,5,536870914,5,289
4420,0,536870915,0,289
4420,2,268435456,2,290
4420,6,268435457,6,290
4420,60,268435458,60,290
4420,213,268435459,213,290
4420,212,536870912,212,290
4420,59,536870913,59,290
4420,5,536870914,5,290
4420,1,536870915,1,290
4420,2,268435456,2,291
4420,5,268435457,5,291
4420,59,268435458,59,291
4420,213,268435459,213,291
4420,235,268435460,235,291
4420,245,268435461,245,291
4420,244,536870912,244,291
4420,234,536870913,234,291
4420,212,536870914,212,291
4420,58,536870915,58,291
4420,4,536870916,4,291
4420,1,536870917,1,291
4420,58,268435456,58,292
4420,213,268435457,213,292
4420,234,268435458,234,292
4420,245,268435459,245,292
4420,244,536870912,244,292
4420,233,536870913,233,292
4420,212,536870914,212,292
4420,57,536870915,57,292
4420,56,268435456,56,293
4420,213,268435457,213,293
4420,235,268435458,235,293
4420,242,268435459,242,293
4420,241,536870912,241,293
4420,234,536870913,234,293
4420,212,536870914,212,293
4420,55,536870915,55,293
4420,56,268435456,56,294
4420,213,268435457,213,294
4420,212,536870912,212,294
4420,55,536870913,55,294
4420,55,268435456,55,295
4420,213,268435457,213,295
4420,212,536870912,212,295
4420,54,536870913,54,295
4420,54,268435456,54,296
4420,213,268435457,213,296
4420,212,536870912,212,296
4420,53,536870913,53,296
4420,53,268435456,53,297
4420,213,268435457,213,297
4420,212,536870912,212,297
4420,52,536870913,52,297
4420,53,268435456,53,298
4420,213,268435457,213,298
4420,212,536870912,212,298
4420,52,536870913,52,298
4420,52,268435456,52,299
4420,213,268435457,213,299
4420,212,536870912,212,299
4420,51,536870913,51,299
4420,52,268435456,52,300
4420,213,268435457,213,300
4420,212,536870912,212,300
4420,51,536870913,51,300
4420,51,268435456,51,301
4420,213,268435457,213,301
4420,212,536870912,212,301
4420,50,536870913,50,301
4420,51,268435456,51,302
4420,213,268435457,213,302
4420,212,536870912,212,302
4420,50,536870913,50,302
4420,51,268435456,51,303
4420,213,268435457,213,303
4420,212,536870912,212,303
4420,50,536870913,50,303
4420,50,268435456,50,304
4420,213,268435457,213,304
4420,212,536870912,212,304
4420,49,536870913,49,304
4420,49,268435456,49,305
4420,213,268435457,213,305
4420,212,536870912,212,305
4420,48,536870913,48,305
4420,49,268435456,49,306
4420,213,268435457,213,306
4420,212,536870912,212,306
4420,48,536870913,48,306
4420,49,268435456,49,307
4420,214,268435457,214,307
4420,213,536870912,213,307
4420,48,536870913,48,307
4420,49,268435456,49,308
4420,214,268435457,214,308
4420,213,536870912,213,308
4420,48,536870913,48,308
4420,49,268435456,49,309
4420,214,268435457,214,309
4420,213,536870912,213,309
4420,48,536870913,48,309
4420,49,268435456,49,310
4420,214,268435457,214,310
4420,213,536870912,213,310
4420,48,536870913,48,310
4420,48,268435456,48,311
4420,214,268435457,214,311
4420,213,536870912,213,311
4420,47,536870913,47,311
4420,48,268435456,48,312
4420,214,268435457,214,312
4420,213,536870912,213,312
4420,47,536870913,47,312
4420,47,268435456,47,313
4420,214,268435457,214,313
4420,213,536870912,213,313
4420,46,536870913,46,313
4420,46,268435456,46,314
4420,214,268435457,214,314
4420,213,536870912,213,314
4420,45,536870913,45,314
4420,45,268435456,45,315
4420,214,268435457,214,315
4420,213,536870912,213,315
4420,44,536870913,44,315
4420,45,268435456,45,316
4420,214,268435457,214,316
4420,213,536870912,213,316
4420,44,536870913,44,316
4420,44,268435456,44,317
4420,214,268435457,214,317
4420,213,536870912,213,317
4420,43,536870913,43,317
4420,5,268435456,5,318
4420,7,268435457,7,318
4420,43,268435458,43,318
4420,214,268435459,214,318
4420,213,536870912,213,318
4420,42,536870913,42,318
4420,6,536870914,6,318
4420,4,536870915,4,318
4420,5,268435456,5,319
4420,8,268435457,8,319
4420,42,268435458,42,319
4420,214,268435459,214,319
4420,213,536870912,213,319
4420,41,536870913,41,319
4420,7,536870914,7,319
4420,4,536870915,4,319
4420,5,268435456,5,320
4420,10,268435457,10,320
4420,41,268435458,41,320
4420,214,268435459,214,320
4420,213,536870912,213,320
4420,40,536870913,40,320
4420,9,536870914,9,320
4420,4,536870915,4,320
4420,6,268435456,6,321
4420,11,268435457,11,321
4420,40,268435458,40,321
4420,214,268435459,214,321
4420,213,536870912,213,321
4420,39,536870913,39,321
4420,10,536870914,10,321
4420,5,536870915,5,321
4420,6,268435456,6,322
4420,12,268435457,12,322
4420,40,268435458,40,322
4420,214,268435459,214,322
4420,213,536870912,213,322
4420,39,536870913,39,322
4420,11,536870914,11,322
4420,5,536870915,5,322
4420,7,268435456,7,323
4420,13,268435457,13,323
4420,40,268435458,40,323
4420,214,268435459,214,323
4420,213,536870912,213,323
4420,39,536870913,39,323
4420,12,536870914,12,323
4420,6,536870915,6,323
4420,8,268435456,8,324
4420,14,268435457,14,324
4420,40,268435458,40,324
4420,214,268435459,214,324
4420,213,536870912,213,324
4420,39,536870913,39,324
4420,13,536870914,13,324
4420,7,536870915,7,324
4420,8,268435456,8,325
4420,15,268435457,15,325
4420,40,268435458,40,325
4420,214,268435459,214,325
4420,213,536870912,213,325
4420,39,536870913,39,325
4420,14,536870914,14,325
4420,7,536870915,7,325
4420,10,268435456,10,326
4420,15,268435457,15,326
4420,41,268435458,41,326
4420,214,268435459,214,326
4420,213,536870912,213,326
4420,40,536870913,40,326
4420,14,536870914,14,326
4420,9,536870915,9,326
4420,11,268435456,11,327
4420,15,268435457,15,327
4420,43,268435458,43,327
4420,214,268435459,214,327
4420,213,536870912,213,327
4420,42,536870913,42,327
4420,14,536870914,14,327
4420,10,536870915,10,327
4420,45,268435456,45,328
4420,214,268435457,214,328
4420,302,268435458,302,328
4420,313,268435459,313,328
4420,312,536870912,312,328
4420,301,536870913,301,328
4420,213,536870914,213,328
4420,44,536870915,44,328
4420,46,268435456,46,329
4420,214,268435457,214,329
4420,299,268435458,299,329
4420,314,268435459,314,329
4420,313,536870912,313,329
4420,298,536870913,298,329
4420,213,536870914,213,329
4420,45,536870915,45,329
4420,48,268435456,48,330
4420,214,268435457,214,330
4420,297,268435458,297,330
4420,314,268435459,314,330
4420,313,536870912,313,330
4420,296,536870913,296,330
4420,213,536870914,213,330
4420,47,536870915,47,330
4420,50,268435456,50,331
4420,214,268435457,214,331
4420,295,268435458,295,331
4420,313,268435459,313,331
4420,312,536870912,312,331
4420,294,536870913,294,331
4420,213,536870914,213,331
4420,49,536870915,49,331
4420,51,268435456,51,332
4420,215,268435457,215,332
4420,292,268435458,292,332
4420,311,268435459,311,332
4420,310,536870912,310,332
4420,291,536870913,291,332
4420,214,536870914,214,332
4420,50,536870915,50,332
4420,51,268435456,51,333
4420,215,268435457,215,333
4420,292,268435458,292,333
4420,310,268435459,310,333
4420,443,268435460,443,333
4420,444,268435461,444,333
4420,443,536870912,443,333
4420,442,536870913,442,333
4420,309,536870914,309,333
4420,291,536870915,291,333
4420,214,536870916,214,333
4420,50,536870917,50,333
4420,52,268435456,52,334
4420,215,268435457,215,334
4420,295,268435458,295,334
4420,308,268435459,308,334
4420,442,268435460,442,334
4420,445,268435461,445,334
4420,444,536870912,444,334
4420,441,536870913,441,334
4420,307,536870914,307,334
4420,294,536870915,294,334
4420,214,536870916,214,334
4420,51,536870917,51,334
4420,53,268435456,53,335
4420,215,268435457,215,335
4420,297,268435458,297,335
4420,306,268435459,306,335
4420,442,268435460,442,335
4420,447,268435461,447,335
4420,446,536870912,446,335
4420,441,536870913,441,335
4420,305,536870914,305,335
4420,296,536870915,296,335
4420,214,536870916,214,335
4420,52,536870917,52,335
4420,54,268435456,54,336
4420,215,268435457,215,336
4420,442,268435458,442,336
4420,449,268435459,449,336
4420,448,536870912,448,336
4420,441,536870913,441,336
4420,214,536870914,214,336
4420,53,536870915,53,336
4420,63,268435456,63,337
4420,215,268435457,215,337
4420,442,268435458,442,337
4420,450,268435459,450,337
4420,449,536870912,449,337
4420,441,536870913,441,337
4420,214,536870914,214,337
4420,62,536870915,62,337
4420,69,268435456,69,338
4420,215,268435457,215,338
4420,442,268435458,442,338
4420,451,268435459,451,338
4420,450,536870912,450,338
4420,441,536870913,441,338
4420,214,536870914,214,338
4420,68,536870915,68,338
4420,73,268435456,73,339
4420,215,268435457,215,339
4420,442,268435458,442,339
4420,451,268435459,451,339
4420,450,536870912,450,339
4420,441,536870913,441,339
4420,214,536870914,214,339
4420,72,536870915,72,339
4420,76,268435456,76,340
4420,215,268435457,215,340
4420,442,268435458,442,340
4420,452,268435459,452,340
4420,451,536870912,451,340
4420,441,536870913,441,340
4420,214,536870914,214,340
4420,75,536870915,75,340
4420,77,268435456,77,341
4420,215,268435457,215,341
4420,442,268435458,442,341
4420,452,268435459,452,341
4420,451,536870912,451,341
4420,441,536870913,441,341
4420,214,536870914,214,341
4420,76,536870915,76,341
4420,78,268435456,78,342
4420,215,268435457,215,342
4420,442,268435458,442,342
4420,452,268435459,452,342
4420,451,536870912,451,342
4420,441,536870913,441,342
4420,214,536870914,214,342
4420,77,536870915,77,342
4420,80,268435456,80,343
4420,215,268435457,215,343
4420,443,268435458,443,343
4420,452,268435459,452,343
4420,451,536870912,451,343
4420,442,536870913,442,343
4420,214,536870914,214,343
4420,79,536870915,79,343
4420,80,268435456,80,344
4420,215,268435457,215,344
4420,445,268435458,445,344
4420,452,268435459,452,344
4420,451,536870912,451,344
4420,444,536870913,444,344
4420,214,536870914,214,344
4420,79,536870915,79,344
4420,81,268435456,81,345
4420,215,268435457,215,345
4420,447,268435458,447,345
4420,452,268435459,452,345
4420,451,536870912,451,345
4420,446,536870913,446,345
4420,214,536870914,214,345
4420,80,536870915,80,345
4420,82,268435456,82,346
4420,215,268435457,215,346
4420,448,268435458,448,346
4420,452,268435459,452,346
4420,451,536870912,451,346
4420,447,536870913,447,346
4420,214,536870914,214,346
4420,81,536870915,81,346
4420,83,268435456,83,347
4420,215,268435457,215,347
4420,449,268435458,449,347
4420,452,268435459,452,347
4420,451,536870912,451,347
4420,448,536870913,448,347
4420,214,536870914,214,347
4420,82,536870915,82,347
4420,84,268435456,84,348
4420,215,268435457,215,348
4420,214,536870912,214,348
4420,83,536870913,83,348
4420,86,268435456,86,349
4420,215,268435457,215,349
4420,214,536870912,214,349
4420,85,536870913,85,349
4420,88,268435456,88,350
4420,215,268435457,215,350
4420,214,536870912,214,350
4420,87,536870913,87,350
4420,91,268435456,91,351
4420,215,268435457,215,351
4420,214,536870912,214,351
4420,90,536870913,90,351
4420,93,268435456,93,352
4420,215,268435457,215,352
4420,214,536870912,214,352
4420,92,536870913,92,352
4420,97,268435456,97,353
4420,215,268435457,215,353
4420,214,536870912,214,353
4420,96,536870913,96,353
4420,102,268435456,102,354
4420,215,268435457,215,354
4420,214,536870912,214,354
4420,101,536870913,101,354
4420,105,268435456,105,355
4420,215,268435457,215,355
4420,214,536870912,214,355
4420,104,536870913,104,355
4420,109,268435456,109,356
4420,215,268435457,215,356
4420,214,536870912,214,356
4420,108,536870913,108,356
4420,112,268435456,112,357
4420,215,268435457,215,357
4420,214,536870912,214,357
4420,111,536870913,111,357
4420,113,268435456,113,358
4420,215,268435457,215,358
4420,214,536870912,214,358
4420,112,536870913,112,358
4420,114,268435456,114,359
4420,215,268435457,215,359
4420,214,536870912,214,359
4420,113,536870913,113,359
4420,0,1879048192,0,0
4420,0,2147483648,0,359
4420,1,805306368,1,285
4420,1,805306369,1,290
4420,1,1073741824,1,289
4420,1,1073741825,1,284
4420,2,805306368,2,283
4420,2,805306369,2,292
4420,2,1073741824,2,291
4420,2,1073741825,2,282
4420,3,805306368,3,282
4420,3,805306369,3,292
4420,3,1073741824,3,291
4420,3,1073741825,3,281
4420,4,805306368,4,282
4420,4,805306369,4,292
4420,4,1073741824,4,291
4420,4,1073741825,4,281
4420,5,805306368,5,282
4420,5,805306369,5,291
4420,5,805306370,5,318
4420,5,805306371,5,321
4420,5,1073741824,5,320
4420,5,1073741825,5,317
4420,5,1073741826,5,290
4420,5,1073741827,5,281
4420,6,805306368,6,281
4420,6,805306369,6,289
4420,6,805306370,6,318
4420,6,805306371,6,323
4420,6,1073741824,6,322
4420,6,1073741825,6,317
4420,6,1073741826,6,288
4420,6,1073741827,6,280
4420,7,805306368,7,281
4420,7,805306369,7,288
4420,7,805306370,7,319
4420,7,805306371,7,324
4420,7,1073741824,7,323
4420,7,1073741825,7,318
4420,7,1073741826,7,287
4420,7,1073741827,7,280
4420,8,805306368,8,281
4420,8,805306369,8,287
4420,8,805306370,8,320
4420,8,805306371,8,326
4420,8,1073741824,8,325
4420,8,1073741825,8,319
4420,8,1073741826,8,286
4420,8,1073741827,8,280
4420,9,805306368,9,280
4420,9,805306369,9,287
4420,9,805306370,9,320
4420,9,805306371,9,326
4420,9,1073741824,9,325
4420,9,1073741825,9,319
4420,9,1073741826,9,286
4420,9,1073741827,9,279
4420,10,805306368,10,275
4420,10,805306369,10,286
4420,10,805306370,10,321
4420,10,805306371,10,327
4420,10,1073741824,10,326
4420,10,1073741825,10,320
4420,10,1073741826,10,285
4420,10,1073741827,10,274
4420,11,805306368,11,274
4420,11,805306369,11,284
4420,11,805306370,11,322
4420,11,805306371,11,328
4420,11,1073741824,11,327
4420,11,1073741825,11,321
4420,11,1073741826,11,283
4420,11,1073741827,11,273
4420,12,805306368,12,272
4420,12,805306369,12,283
4420,12,805306370,12,323
4420,12,805306371,12,328
4420,12,1073741824,12,327
4420,12,1073741825,12,322
4420,12,1073741826,12,282
4420,12,1073741827,12,271
4420,13,805306368,13,272
4420,13,805306369,13,279
4420,13,805306370,13,324
4420,13,805306371,13,328
4420,13,1073741824,13,327
4420,13,1073741825,13,323
4420,13,1073741826,13,278
4420,13,1073741827,13,271
4420,14,805306368,14,271
4420,14,805306369,14,278
