Frame,Part of frame,Layer,X,Y
1425,341,268435456,341,57
1425,377,268435457,377,57
1425,376,536870912,376,57
1425,340,536870913,340,57
1425,342,268435456,342,58
1425,379,268435457,379,58
1425,378,536870912,378,58
1425,341,536870913,341,58
1425,343,268435456,343,59
1425,381,268435457,381,59
1425,380,536870912,380,59
1425,342,536870913,342,59
1425,344,268435456,344,60
1425,384,268435457,384,60
1425,383,536870912,383,60
1425,343,536870913,343,60
1425,346,268435456,346,61
1425,386,268435457,386,61
1425,385,536870912,385,61
1425,345,536870913,345,61
1425,347,268435456,347,62
1425,389,268435457,389,62
1425,388,536870912,388,62
1425,346,536870913,346,62
1425,348,268435456,348,63
1425,392,268435457,392,63
1425,391,536870912,391,63
1425,347,536870913,347,63
1425,349,268435456,349,64
1425,395,268435457,395,64
1425,394,536870912,394,64
1425,348,536870913,348,64
1425,351,268435456,351,65
1425,397,268435457,397,65
1425,396,536870912,396,65
1425,350,536870913,350,65
1425,352,268435456,352,66
1425,400,268435457,400,66
1425,399,536870912,399,66
1425,351,536870913,351,66
1425,353,268435456,353,67
1425,402,268435457,402,67
1425,401,536870912,401,67
1425,352,536870913,352,67
1425,355,268435456,355,68
1425,404,268435457,404,68
1425,403,536870912,403,68
1425,354,536870913,354,68
1425,356,268435456,356,69
1425,406,268435457,406,69
1425,405,536870912,405,69
1425,355,536870913,355,69
1425,358,268435456,358,70
1425,408,268435457,408,70
1425,407,536870912,407,70
1425,357,536870913,357,70
1425,360,268435456,360,71
1425,410,268435457,410,71
1425,409,536870912,409,71
1425,359,536870913,359,71
1425,361,268435456,361,72
1425,412,268435457,412,72
1425,411,536870912,411,72
1425,360,536870913,360,72
1425,363,268435456,363,73
1425,414,268435457,414,73
1425,413,536870912,413,73
1425,362,536870913,362,73
1425,365,268435456,365,74
1425,415,268435457,415,74
1425,414,536870912,414,74
1425,364,536870913,364,74
1425,367,268435456,367,75
1425,416,268435457,416,75
1425,415,536870912,415,75
1425,366,536870913,366,75
1425,369,268435456,369,76
1425,418,268435457,418,76
1425,417,536870912,417,76
1425,368,536870913,368,76
